Date,AUD_index,,,,,,,,,
31/05/1970,100,,,,,,,,,
30/06/1970,99.6,,,,,,,,,
31/07/1970,99.4,,,,,,,,,
31/08/1970,99.1,,,,,,,,,
30/09/1970,99.2,,,,,,,,,
31/10/1970,99.2,,,,,,,,,
30/11/1970,99.2,,,,,,,,,
31/12/1970,99.3,,,,,,,,,
31/01/1971,100,,,,,,,,,
28/02/1971,100,,,,,,,,,
31/03/1971,100,,,,,,,,,
30/04/1971,100,,,,,,,,,
31/05/1971,99.8,,,,,,,,,
30/06/1971,99.8,,,,,,,,,
31/07/1971,99.7,,,,,,,,,
31/08/1971,99.3,,,,,,,,,
30/09/1971,99.8,,,,,,,,,
31/10/1971,99.4,,,,,,,,,
30/11/1971,99.3,,,,,,,,,
31/12/1971,99.8,,,,,,,,,
31/01/1972,98.8,,,,,,,,,
29/02/1972,98.1,,,,,,,,,
31/03/1972,97.8,,,,,,,,,
30/04/1972,97.9,,,,,,,,,
31/05/1972,97.9,,,,,,,,,
30/06/1972,98.5,,,,,,,,,
31/07/1972,98.6,,,,,,,,,
31/08/1972,98.5,,,,,,,,,
30/09/1972,98.9,,,,,,,,,
31/10/1972,99.8,,,,,,,,,
30/11/1972,99.4,,,,,,,,,
31/12/1972,106.5,,,,,,,,,
31/01/1973,105.9,,,,,,,,,
28/02/1973,110.7,,,,,,,,,
31/03/1973,110.5,,,,,,,,,
30/04/1973,110.5,,,,,,,,,
31/05/1973,109.1,,,,,,,,,
30/06/1973,107.9,,,,,,,,,
31/07/1973,107.9,,,,,,,,,
31/08/1973,108.9,,,,,,,,,
30/09/1973,113.9,,,,,,,,,
31/10/1973,113.8,,,,,,,,,
30/11/1973,117.3,,,,,,,,,
31/12/1973,118.1,,,,,,,,,
31/01/1974,121.3,,,,,,,,,
28/02/1974,119,,,,,,,,,
31/03/1974,115.5,,,,,,,,,
30/04/1974,116,,,,,,,,,
31/05/1974,117,,,,,,,,,
30/06/1974,117.3,,,,,,,,,
31/07/1974,118.8,,,,,,,,,
31/08/1974,120.5,,,,,,,,,
30/09/1974,105.3,,,,,,,,,
31/10/1974,105.3,,,,,,,,,
30/11/1974,105.3,,,,,,,,,
31/12/1974,105.3,,,,,,,,,
31/01/1975,105.3,,,,,,,,,
28/02/1975,105.3,,,,,,,,,
31/03/1975,105.3,,,,,,,,,
30/04/1975,105.3,,,,,,,,,
31/05/1975,105.3,,,,,,,,,
30/06/1975,105.3,,,,,,,,,
31/07/1975,105.3,,,,,,,,,
31/08/1975,105.3,,,,,,,,,
30/09/1975,105.3,,,,,,,,,
31/10/1975,105.3,,,,,,,,,
30/11/1975,105.3,,,,,,,,,
31/12/1975,105.3,,,,,,,,,
31/01/1976,105.3,,,,,,,,,
29/02/1976,105.3,,,,,,,,,
31/03/1976,105.3,,,,,,,,,
30/04/1976,105.3,,,,,,,,,
31/05/1976,105.3,,,,,,,,,
30/06/1976,105.3,,,,,,,,,
31/07/1976,105.3,,,,,,,,,
31/08/1976,105.3,,,,,,,,,
30/09/1976,105.3,,,,,,,,,
31/10/1976,105.3,,,,,,,,,
30/11/1976,86.9,,,,,,,,,
31/12/1976,92.2,,,,,,,,,
31/01/1977,92.2,,,,,,,,,
28/02/1977,92.5,,,,,,,,,
31/03/1977,92.5,,,,,,,,,
30/04/1977,92.5,,,,,,,,,
31/05/1977,92.5,,,,,,,,,
30/06/1977,92.5,,,,,,,,,
31/07/1977,92.5,,,,,,,,,
31/08/1977,91.5,,,,,,,,,
30/09/1977,91.5,,,,,,,,,
31/10/1977,90.9,,,,,,,,,
30/11/1977,90,,,,,,,,,
31/12/1977,89.4,,,,,,,,,
31/01/1978,89.2,,,,,,,,,
28/02/1978,88.5,,,,,,,,,
31/03/1978,87.5,,,,,,,,,
30/04/1978,87.5,,,,,,,,,
31/05/1978,87.3,,,,,,,,,
30/06/1978,86.2,,,,,,,,,
31/07/1978,84.7,,,,,,,,,
31/08/1978,83.7,,,,,,,,,
30/09/1978,83.6,,,,,,,,,
31/10/1978,82.2,,,,,,,,,
30/11/1978,83.2,,,,,,,,,
31/12/1978,82.7,,,,,,,,,
31/01/1979,82.8,,,,,,,,,
28/02/1979,82.4,,,,,,,,,
31/03/1979,82.3,,,,,,,,,
30/04/1979,82.8,,,,,,,,,
31/05/1979,83.1,,,,,,,,,
30/06/1979,83.1,,,,,,,,,
31/07/1979,83.3,,,,,,,,,
31/08/1979,83.5,,,,,,,,,
30/09/1979,83.5,,,,,,,,,
31/10/1979,83.8,,,,,,,,,
30/11/1979,83.6,,,,,,,,,
31/12/1979,83.3,,,,,,,,,
31/01/1980,83.2,,,,,,,,,
29/02/1980,83.5,,,,,,,,,
31/03/1980,84.4,,,,,,,,,
30/04/1980,84.5,,,,,,,,,
31/05/1980,84.8,,,,,,,,,
30/06/1980,85,,,,,,,,,
31/07/1980,85.5,,,,,,,,,
31/08/1980,85.8,,,,,,,,,
30/09/1980,85.8,,,,,,,,,
31/10/1980,86.2,,,,,,,,,
30/11/1980,86.8,,,,,,,,,
31/12/1980,87.1,,,,,,,,,
31/01/1981,87.5,,,,,,,,,
28/02/1981,88.2,,,,,,,,,
31/03/1981,88.8,,,,,,,,,
30/04/1981,89.5,,,,,,,,,
31/05/1981,90.8,,,,,,,,,
30/06/1981,92.9,,,,,,,,,
31/07/1981,94.2,,,,,,,,,
31/08/1981,94.4,,,,,,,,,
30/09/1981,93.8,,,,,,,,,
31/10/1981,93,,,,,,,,,
30/11/1981,91.2,,,,,,,,,
31/12/1981,90.5,,,,,,,,,
31/01/1982,90.1,,,,,,,,,
28/02/1982,89.2,,,,,,,,,
31/03/1982,88.8,,,,,,,,,
30/04/1982,88.2,,,,,,,,,
31/05/1982,88,,,,,,,,,
30/06/1982,88.2,,,,,,,,,
31/07/1982,86.1,,,,,,,,,
31/08/1982,84.1,,,,,,,,,
30/09/1982,83.8,,,,,,,,,
31/10/1982,83.9,,,,,,,,,
30/11/1982,83.5,,,,,,,,,
31/12/1982,83.4,,,,,,,,,
31/01/1983,83.6,,,,,,,,,
28/02/1983,82.4,,,,,,,,,
31/03/1983,76.1,,,,,,,,,
30/04/1983,76.2,,,,,,,,,
31/05/1983,77.6,,,,,,,,,
30/06/1983,77.7,,,,,,,,,
31/07/1983,78.8,,,,,,,,,
31/08/1983,79.6,,,,,,,,,
30/09/1983,80.4,,,,,,,,,
31/10/1983,81.7,,,,,,,,,
30/11/1983,82,,,,,,,,,
31/12/1983,81.1,,,,,,,,,
31/01/1984,83.5,,,,,,,,,
29/02/1984,84.2,,,,,,,,,
31/03/1984,82.9,,,,,,,,,
30/04/1984,82.6,,,,,,,,,
31/05/1984,81.6,,,,,,,,,
