Date,Unemployment_rate
1/02/1978,6.87
1/03/1978,6.42
1/04/1978,6.50
1/05/1978,6.13
1/06/1978,6.40
1/07/1978,6.12
1/08/1978,6.28
1/09/1978,6.23
1/10/1978,5.99
1/11/1978,6.25
1/12/1978,6.06
1/01/1979,6.01
1/02/1979,5.97
1/03/1979,6.13
1/04/1979,6.42
1/05/1979,6.24
1/06/1979,6.16
1/07/1979,6.18
1/08/1979,5.53
1/09/1979,5.66
1/10/1979,5.85
1/11/1979,5.49
1/12/1979,5.68
1/01/1980,5.77
1/02/1980,5.65
1/03/1980,5.43
1/04/1980,5.44
1/05/1980,5.73
1/06/1980,5.65
1/07/1980,5.58
1/08/1980,5.77
1/09/1980,5.67
1/10/1980,5.37
1/11/1980,5.39
1/12/1980,5.59
1/01/1981,5.57
1/02/1981,5.22
1/03/1981,5.21
1/04/1981,5.06
1/05/1981,4.95
1/06/1981,4.51
1/07/1981,5.14
1/08/1981,5.03
1/09/1981,5.13
1/10/1981,5.26
1/11/1981,5.69
1/12/1981,5.59
1/01/1982,5.59
1/02/1982,6.10
1/03/1982,5.96
1/04/1982,6.02
1/05/1982,6.23
1/06/1982,6.61
1/07/1982,6.84
1/08/1982,6.79
1/09/1982,7.50
1/10/1982,8.68
1/11/1982,9.29
1/12/1982,10.11
1/01/1983,9.63
1/02/1983,10.34
1/03/1983,10.88
1/04/1983,10.65
1/05/1983,10.88
1/06/1983,10.94
1/07/1983,11.09
1/08/1983,11.11
1/09/1983,11.20
1/10/1983,10.96
1/11/1983,10.14
1/12/1983,10.13
1/01/1984,10.07
1/02/1984,10.00
1/03/1984,9.77
1/04/1984,9.99
1/05/1984,9.45
1/06/1984,9.68
1/07/1984,8.90
1/08/1984,9.16
1/09/1984,8.94
1/10/1984,9.04
1/11/1984,8.94
1/12/1984,8.69
1/01/1985,8.79
1/02/1985,8.74
1/03/1985,9.10
1/04/1985,8.88
1/05/1985,9.01
1/06/1985,9.17
1/07/1985,8.80
1/08/1985,9.02
1/09/1985,8.60
1/10/1985,7.98
1/11/1985,8.16
1/12/1985,8.35
1/01/1986,8.31
1/02/1986,8.52
1/03/1986,8.29
1/04/1986,8.46
1/05/1986,8.20
1/06/1986,8.19
1/07/1986,8.47
1/08/1986,8.58
1/09/1986,8.73
1/10/1986,8.65
1/11/1986,8.68
1/12/1986,8.57
1/01/1987,8.83
1/02/1987,8.70
1/03/1987,8.83
1/04/1987,8.87
1/05/1987,8.82
1/06/1987,8.72
1/07/1987,8.89
1/08/1987,8.62
1/09/1987,8.34
1/10/1987,8.59
1/11/1987,8.35
1/12/1987,7.77
1/01/1988,7.39
1/02/1988,7.08
1/03/1988,7.35
1/04/1988,8.06
1/05/1988,7.60
1/06/1988,7.67
1/07/1988,6.91
1/08/1988,7.27
1/09/1988,7.16
1/10/1988,6.92
1/11/1988,6.85
1/12/1988,7.02
1/01/1989,7.05
1/02/1989,6.56
1/03/1989,6.70
1/04/1989,6.42
1/05/1989,6.76
1/06/1989,6.30
1/07/1989,6.38
1/08/1989,6.14
1/09/1989,6.22
1/10/1989,5.83
1/11/1989,5.61
1/12/1989,5.81
1/01/1990,6.20
1/02/1990,6.44
1/03/1990,6.16
1/04/1990,6.20
1/05/1990,6.27
1/06/1990,6.30
1/07/1990,6.74
1/08/1990,6.59
1/09/1990,6.81
1/10/1990,6.60
1/11/1990,7.10
1/12/1990,7.30
1/01/1991,7.50
1/02/1991,7.76
1/03/1991,8.35
1/04/1991,8.57
1/05/1991,8.46
1/06/1991,8.42
1/07/1991,8.84
1/08/1991,9.28
1/09/1991,9.63
1/10/1991,9.45
1/11/1991,9.90
1/12/1991,10.19
1/01/1992,9.85
1/02/1992,9.78
1/03/1992,9.45
1/04/1992,9.81
1/05/1992,9.95
1/06/1992,10.25
1/07/1992,10.61
1/08/1992,10.66
1/09/1992,10.28
1/10/1992,11.14
1/11/1992,11.03
1/12/1992,11.19
1/01/1993,10.72
1/02/1993,11.23
1/03/1993,10.87
1/04/1993,10.73
1/05/1993,10.45
1/06/1993,10.80
1/07/1993,10.52
1/08/1993,10.75
1/09/1993,10.43
1/10/1993,10.83
1/11/1993,10.70
1/12/1993,10.59
1/01/1994,10.36
1/02/1994,10.03
1/03/1994,10.05
1/04/1994,9.97
1/05/1994,9.67
1/06/1994,10.00
1/07/1994,9.57
1/08/1994,9.13
1/09/1994,9.24
1/10/1994,8.92
1/11/1994,8.74
1/12/1994,8.91
1/01/1995,8.49
1/02/1995,8.58
1/03/1995,8.21
1/04/1995,7.69
1/05/1995,7.84
1/06/1995,7.72
1/07/1995,7.61
1/08/1995,7.87
1/09/1995,7.53
1/10/1995,7.51
1/11/1995,7.85
1/12/1995,7.33
1/01/1996,7.70
1/02/1996,7.48
1/03/1996,7.92
1/04/1996,8.16
1/05/1996,7.89
1/06/1996,7.67
1/07/1996,7.90
1/08/1996,8.17
1/09/1996,7.99
1/10/1996,7.81
1/11/1996,7.42
1/12/1996,7.86
1/01/1997,7.68
1/02/1997,8.09
1/03/1997,7.70
1/04/1997,7.84
1/05/1997,7.94
1/06/1997,7.40
1/07/1997,8.17
1/08/1997,7.70
1/09/1997,7.41
1/10/1997,7.81
1/11/1997,7.38
1/12/1997,7.17
1/01/1998,7.20
1/02/1998,7.28
1/03/1998,7.29
1/04/1998,6.94
1/05/1998,7.29
1/06/1998,7.24
1/07/1998,7.19
1/08/1998,7.23
1/09/1998,7.04
1/10/1998,6.42
1/11/1998,7.20
1/12/1998,6.43
1/01/1999,6.55
1/02/1999,6.46
1/03/1999,6.48
1/04/1999,6.52
1/05/1999,6.16
1/06/1999,5.78
1/07/1999,5.82
1/08/1999,6.64
1/09/1999,6.72
1/10/1999,5.84
1/11/1999,5.31
1/12/1999,5.91
1/01/2000,5.86
1/02/2000,5.75
1/03/2000,5.74
1/04/2000,5.36
1/05/2000,5.41
1/06/2000,5.33
1/07/2000,4.94
1/08/2000,5.18
1/09/2000,5.01
1/10/2000,5.15
1/11/2000,5.41
1/12/2000,5.62
1/01/2001,5.36
1/02/2001,5.71
1/03/2001,5.43
1/04/2001,5.75
1/05/2001,5.72
1/06/2001,6.00
1/07/2001,5.92
1/08/2001,6.25
1/09/2001,6.25
1/10/2001,6.57
1/11/2001,6.33
1/12/2001,6.16
1/01/2002,6.30
1/02/2002,5.77
1/03/2002,6.16
1/04/2002,6.16
1/05/2002,6.04
1/06/2002,6.14
