date,value_at_date
1/3/2026,141.8
1/12/2025,140.72
1/9/2025,136.97
1/6/2025,135.53
1/3/2025,134.21
1/12/2024,134.91
1/9/2024,134.55
1/6/2024,132.97
1/3/2024,131.55
1/12/2023,130.62
1/9/2023,128.81
1/6/2023,126.81
1/3/2023,124.42
1/12/2022,126.73
1/9/2022,132.5
1/6/2022,139.77
1/3/2022,141.84
1/12/2021,141.03
1/9/2021,136.38
1/6/2021,130.96
1/3/2021,123.63
1/12/2020,118
1/9/2020,115.54
1/6/2020,116.44
1/3/2020,116.27
1/12/2019,114.86
1/9/2019,111.3
1/6/2019,109.25
1/3/2019,110.71
1/12/2018,114.12
1/9/2018,117.5
1/6/2018,119.87
1/3/2018,121.12
1/12/2017,122.49
1/9/2017,122.09
1/6/2017,123.12
1/3/2017,120.98
1/12/2016,118.91
1/9/2016,114.8
1/6/2016,113.93
1/3/2016,112.12
1/12/2015,112.08
1/9/2015,112.33
1/6/2015,110.6
1/3/2015,106.36
1/12/2014,104.9
1/9/2014,103
1/6/2014,102.25
1/3/2014,100.8
1/12/2013,99.95
1/9/2013,96.88
1/6/2013,95.65
1/3/2013,93.67
1/12/2012,93.39
1/9/2012,91.57
1/6/2012,93.03
1/3/2012,93.12
1/12/2011,92.66
1/9/2011,93.4
1/6/2011,95.66
1/3/2011,97.19
1/12/2010,99.46
1/9/2010,99.3
1/6/2010,101.28
1/3/2010,99.97
1/12/2009,97.86
1/9/2009,93.23
1/6/2009,90.33
1/3/2009,87.1
1/12/2008,87.39
1/9/2008,88.31
1/6/2008,91.41
1/3/2008,93.55
1/12/2007,94.39
1/9/2007,91.77
1/6/2007,89.21
1/3/2007,86.48
1/12/2006,85.73
1/9/2006,84.12
1/6/2006,83.39
1/3/2006,81.8
1/12/2005,81.6
1/9/2005,80.43
1/6/2005,81.32
1/3/2005,81.25
1/12/2004,81.96
1/9/2004,81.19
1/6/2004,81.49
1/3/2004,82.71
1/12/2003,83.78
1/9/2003,81.15
1/6/2003,77.13
1/3/2003,73.18
1/12/2002,72.19
1/9/2002,70.09
1/6/2002,67.73
1/3/2002,64.35
1/12/2001,62.57
1/9/2001,60.87
1/6/2001,58.01
1/3/2001,56.47
1/12/2000,55.86
1/9/2000,54.71
1/6/2000,56.89
1/3/2000,55.98
1/12/1999,55.44
1/9/1999,53.99
1/6/1999,53.47
1/3/1999,52.51
1/12/1998,51.59
1/9/1998,50.97
1/6/1998,51.05
1/3/1998,50.26
1/12/1997,49.19
1/9/1997,48.41
1/6/1997,47.33
1/3/1997,46.59
1/12/1996,46.25
1/9/1996,46.2
1/6/1996,46.18
1/3/1996,45.95
1/12/1995,46.18
1/9/1995,46.61
1/6/1995,47.1
1/3/1995,48.11
1/12/1994,48.4
1/9/1994,49.01
1/6/1994,48.58
1/3/1994,48.32
1/12/1993,48.03
1/9/1993,47.66
1/6/1993,47.85
1/3/1993,47.69
1/12/1992,47.64
1/9/1992,47.42
1/6/1992,47.46
1/3/1992,47.17
1/12/1991,47.48
1/9/1991,47.96
1/6/1991,46.78
1/3/1991,46.31
1/12/1990,46.28
1/9/1990,47.2
1/6/1990,47.96
1/3/1990,48.29
1/12/1989,48.92
1/9/1989,49.67
1/6/1989,50.8
1/3/1989,51.08
1/12/1988,47.71
1/9/1988,44.23
1/6/1988,41.03
1/3/1988,39.66
1/12/1987,38.62
1/9/1987,37.48
1/6/1987,37.49
1/3/1987,37.65
1/12/1986,37.99
1/9/1986,38.6
1/6/1986,40.72
1/3/1986,40.32
1/12/1985,40.32
1/9/1985,40.54
1/6/1985,40.56
1/3/1985,41.11
1/12/1984,39.64
1/9/1984,40.23
1/6/1984,39.15
1/3/1984,38.36
1/12/1983,36.94
1/9/1983,36.21
1/6/1983,37.06
1/3/1983,36.54
1/12/1982,36.34
1/9/1982,37.62
1/6/1982,39.63
1/3/1982,39.32
1/12/1981,40.54
1/9/1981,40.31
1/6/1981,41.94
1/3/1981,41.49
1/12/1980,39.86
1/9/1980,39.43
1/6/1980,38.8
1/3/1980,38.07
1/12/1979,37.99
1/9/1979,38.42
1/6/1979,38.54
1/3/1979,37.21
1/12/1978,35.94
1/9/1978,36.35
1/6/1978,36.83
1/3/1978,37.64
1/12/1977,37.19
1/9/1977,37.41
1/6/1977,38.03
1/3/1977,38.1
1/12/1976,37.91
1/9/1976,38.95
1/6/1976,39.88
1/3/1976,39.86
1/12/1975,39.52
1/9/1975,40.57
1/6/1975,39.71
1/3/1975,39.37
1/12/1974,40.16
1/9/1974,40.61
1/6/1974,42.22
1/3/1974,42.41
1/12/1973,41.09
1/9/1973,39.68
1/6/1973,37.95
1/3/1973,37.08
1/12/1972,36.71
1/9/1972,35.14
1/6/1972,34.8
1/3/1972,34.53
1/12/1971,34.11
1/9/1971,33.48
1/6/1971,33.45
1/3/1971,33.02
1/12/1970,32.44
1/9/1970,32.1
1/6/1970,31.55
1/3/1970,31.31
